trait_id,trait_name
PO:0006370,"upper glume of tassel spikelet"
PO:0006371,"upper glume of ear spikelet"
PO:0006372,"lower glume of tassel spikelet"
PO:0006375,"ear apical meristem"
PO:0006376,"tassel apical meristem"
PO:0006377,"tassel spikelet meristem"
PO:0006378,"ear spikelet meristem"
PO:0006379,"tassel spikelet rachilla"
PO:0006380,"ear spikelet rachilla"
PO:0006385,"lower glume of pedicellate spikelet of tassel"
PO:0006386,"lower glume of sessile spikelet of tassel"
PO:0006387,"upper glume of sessile spikelet of tassel"
PO:0006388,"upper glume of pedicellate spikelet of tassel"
PO:0006389,"rachilla of sessile spikelet of tassel"
PO:0006390,"rachilla of pedicellate spikelet of tassel"
PO:0006415,"pedicel of ear spikelet"
PO:0006416,"pedicel of tassel spikelet"
PO:0006417,"tassel peduncle"
PO:0006418,"ear peduncle"
PO:0006435,"rachilla of pedicellate spikelet of ear"
PO:0006436,"rachilla of sessile spikelet of ear"
PO:0006437,"lower glume of pedicellate spikelet of ear"
PO:0006438,"lower glume of sessile spikelet of ear"
PO:0006439,"upper glume of pedicellate spikelet of ear"
PO:0006440,"upper glume of sessile spikelet of ear"
PO:0006488,"silk"
PO:0006501,"leaf abscission zone"
PO:0006502,"floral organ abscission zone"
PO:0006503,"fruit abscission zone"
PO:0006504,"leaf trichome"
PO:0006505,"first order ear inflorescence axis"
PO:0007001,"early whole plant fruit ripening stage"
PO:0007002,"IE.03 3/4 of inflorescence emerged from flag leaf sheath stage"
PO:0007003,"IL.03 full inflorescence length reached stage"
PO:0007004,"3 rapid growth stage"
PO:0007005,"IL.02 1/2 inflorescence length reached stage"
PO:0007006,"IL.00 inflorescence just visible stage"
PO:0007007,"whole plant fruit formation stage 50 to 70%"
PO:0007008,"IE.02 1/2 of inflorescence emerged from flag leaf sheath stage"
PO:0007009,"whole plant fruit formation stage 10 to 30%"
PO:0007010,"whole plant fruit ripening stage"
PO:0007013,"BO.03 late boot stage"
PO:0007014,"booting stage"
PO:0007015,"radicle emergence stage"
PO:0007016,"whole plant flowering stage"
PO:0007017,"sporophyte senescent stage"
PO:0007018,"BO.01 early boot stage"
PO:0007019,"BO.05 flag leaf sheath opened stage"
PO:0007022,"seed imbibition stage"
PO:0007023,"IE.04 inflorescence fully emerged from flag leaf sheath stage"
PO:0007024,"FL.04 end of flowering stage"
PO:0007025,"IE.00 inflorescence tip just visible above flag leaf sheath stage"
PO:0007026,"FL.00 first flower(s) open stage"
PO:0007027,"whole plant fruit formation stage 70% to final size"
PO:0007028,"BO.04 flag leaf sheath opening stage"
PO:0007029,"whole plant fruit formation stage 30 to 50%"
PO:0007030,"seedling shoot emergence stage"
PO:0007031,"mid whole plant fruit ripening stage"
PO:0007032,"whole plant fruit formation stage up to 10%"
PO:0007033,"whole plant development stage"
PO:0007034,"FL.01 1/4 of flowers open stage"
PO:0007035,"7-8 fruit formation and maturation"
PO:0007036,"beginning of whole plant fruit ripening stage"
PO:0007037,"inflorescence bifurcation stage"
PO:0007038,"whole plant fruit ripening complete stage"
PO:0007039,"leaf trichome development stage"
PO:0007041,"inflorescence emergence stage"
PO:0007042,"whole plant fruit formation stage"
PO:0007043,"hypocotyl emergence stage"
PO:0007044,"BO.02 mid boot stage"
PO:0007045,"coleoptile emergence stage"
PO:0007046,"IL.01 1/4 inflorescence length reached stage"
PO:0007047,"whole plant inflorescence detectable stage"
PO:0007048,"IE.01 1/4 of inflorescence emerged from flag leaf sheath stage"
PO:0007049,"cotyledon emergence stage"
PO:0007050,"late whole plant fruit ripening stage"
PO:0007051,"BO.00 booting begins stage"
PO:0007052,"FL.03 3/4 of flowers open stage"
PO:0007053,"FL.02 1/2 of flowers open stage"
PO:0007054,"epicotyl emergence stage"
PO:0007056,"1 pattern formation stage"
PO:0007057,"seed germination stage"
PO:0007058,"2 endoreduplication stage"
PO:0007059,"3 branch formation stage"
PO:0007060,"obsolete growth and development terms"
PO:0007061,"2.00 main shoot only"
PO:0007062,"SE.06 six nodes or internodes visible stage"
PO:0007063,"LP.07 seven leaves visible stage"
PO:0007064,"LP.12 twelve leaves visible stage"
PO:0007065,"LP.05 five leaves visible stage"
PO:0007066,"SE.09 nine nodes or internodes visible stage"
PO:0007067,"LP.17 seventeen leaves visible stage"
PO:0007068,"mid rosette growth stage"
PO:0007070,"SE.08 eight nodes or internodes visible stage"
PO:0007071,"2.02 main shoot and axillary shoots visible at two nodes stage"
PO:0007072,"LP.18 eighteen leaves visible stage"
PO:0007073,"2 formation of axillary shoot stage"
PO:0007074,"SE.15 fifteen nodes or internodes visible stage"
PO:0007075,"5.02 20% of inflorescence emerged."
PO:0007076,"late rosette growth stage"
PO:0007077,"2.08 main shoot and axillary shoots visible at eight nodes stage"
PO:0007078,"rosette growth complete stage"
PO:0007079,"SE.00 stem elongation begins stage"
PO:0007080,"2.03 main shoot and axillary shoots visible at three nodes stage"
PO:0007081,"early rosette growth stage"
PO:0007082,"LP.20 twenty or more leaves whorls visible stage"
PO:0007083,"LP.13 thirteen leaves visible stage"
PO:0007084,"SE.10 ten nodes or internodes visible stage"
PO:0007085,"LP.14 fourteen leaves visible stage"
PO:0007086,"SE.05 five nodes or internodes visible stage"
PO:0007087,"2.01 main shoot and axillary shoots visible at one node stage"
PO:0007088,"2.04 main shoot and axillary shoots visible at four nodes stage"
PO:0007089,"stem elongation stage"
PO:0007090,"SE.13 thirteen nodes or internodes visible stage"
PO:0007091,"SE.01 one node or internode visible stage"
PO:0007092,"SE.04 four nodes or internodes visible stage"
PO:0007093,"2.05 main shoot and axillary shoots visible at five nodes stage"
PO:0007094,"LP.01 one leaf visible stage"
PO:0007095,"LP.08 eight leaves visible stage"
PO:0007096,"SE.03 three nodes or internodes visible stage"
PO:0007097,"SE.14 fourteen nodes or internodes visible stage"
PO:0007098,"LP.02 two leaves visible stage"
PO:0007099,"SE.97 flag leaf visible stage"
PO:0007100,"SE.16 sixteen or more nodes or internodes visible stage"
PO:0007101,"LP.09 nine leaves visible stage"
PO:0007102,"5.04 40% of inflorescence emerged"
PO:0007103,"LP.10 ten leaves visible stage"
PO:0007104,"LP.15 fifteen leaves visible stage"
PO:0007105,"5.06 60% of inflorescence emerged"
PO:0007106,"LP.03 three leaves visible stage"
PO:0007107,"5.08 80% of inflorescence emerged"
PO:0007108,"SE.07 seven nodes or internodes visible stage"
PO:0007109,"SE.99 maximum stem length reached stage"
PO:0007110,"2.09 main shoot and axillary shoots visible at nine or more nodes stage"
PO:0007111,"SE.12 twelve nodes or internodes visible stage"
PO:0007112,"1 main shoot growth stage"
PO:0007113,"rosette growth stage"
PO:0007114,"SE.11 eleven nodes or internodes visible stage"
PO:0007115,"LP.04 four leaves visible stage"
PO:0007116,"LP.11 eleven leaves visible stage"
PO:0007117,"SE.02 two nodes or internodes visible stage"
PO:0007118,"2.06 main shoot and axillary shoots visible at six nodes stage"
PO:0007119,"LP.16 sixteen leaves visible stage"
PO:0007120,"LP.19 nineteen leaves visible stage"
PO:0007121,"6.01 10% of flowers open"
PO:0007122,"2.07 main shoot and axillary shoots visible at seven nodes stage"
PO:0007123,"LP.06 six leaves visible stage"
PO:0007124,"6.03 30% of flowers open"
PO:0007125,"6.04 40% of flowers open"
PO:0007126,"7.02 fruit size 20%"
PO:0007127,"7.04 fruit size 40%"
PO:0007128,"7.06 fruit size 60%"
PO:0007129,"7.08 fruit size 80%"
PO:0007130,"sporophyte reproductive stage"
